,airline,embarked,destination,stops,journey_year,journey_month,journey_day,dep_hour,dep_min,departure_time,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_min,arrival_time,price,additional_info
166,Air India,Mumbai,Hyderabad,non-stop,2019,3,3,13,55,After noon,2022,2,16,15,25,After noon,6093,No info
167,SpiceJet,Banglore,Delhi,non-stop,2019,5,21,5,55,early morning,2022,2,16,8,35,early morning,3312,No info
168,Jet Airways,Delhi,Cochin,1 stop,2019,3,27,19,15,evening,2022,3,28,4,25,late night,6541,In-flight meal not included
169,IndiGo,Banglore,Delhi,non-stop,2019,5,27,1,30,late night,2022,2,16,4,15,late night,3420,No info
170,Jet Airways,Delhi,Cochin,1 stop,2019,3,4,14,0,After noon,2022,4,4,12,35,morning,5178,In-flight meal not included
171,Air India,Delhi,Cochin,non-stop,2019,4,18,18,5,evening,2022,2,16,21,10,night,8247,No info
172,Jet Airways,Kolkata,Banglore,1 stop,2019,9,6,9,35,morning,2022,2,16,21,5,night,14677,No info
173,Multiple carriers,Delhi,Cochin,1 stop,2019,6,27,11,30,morning,2022,2,16,21,0,night,13588,No info
174,Jet Airways,Kolkata,Banglore,1 stop,2019,6,5,21,10,night,2022,5,7,9,20,morning,9664,In-flight meal not included
175,Jet Airways,Kolkata,Banglore,1 stop,2019,12,6,16,30,After noon,2022,6,13,10,5,morning,13045,No info
176,IndiGo,Delhi,Cochin,1 stop,2019,3,4,20,25,evening,2022,4,4,1,30,late night,5074,No info
177,Vistara,Kolkata,Banglore,1 stop,2019,5,21,17,0,evening,2022,5,22,18,50,evening,9346,No info
178,Jet Airways,Kolkata,Banglore,1 stop,2019,6,5,14,5,After noon,2022,5,7,10,5,morning,9664,In-flight meal not included
179,Multiple carriers,Delhi,Cochin,1 stop,2019,5,21,8,0,early morning,2022,2,16,21,0,night,14278,No info
180,Jet Airways,Delhi,Cochin,1 stop,2019,1,6,10,0,morning,2022,6,2,4,25,late night,10263,In-flight meal not included
181,Jet Airways,Mumbai,Hyderabad,non-stop,2019,3,27,19,35,evening,2022,2,16,21,5,night,5679,No info
182,Multiple carriers,Delhi,Cochin,1 stop,2019,5,15,16,0,After noon,2022,5,16,1,30,late night,13728,No info
183,Jet Airways,Kolkata,Banglore,1 stop,2019,6,5,20,0,evening,2022,5,7,12,0,morning,9664,In-flight meal not included
184,IndiGo,Chennai,Kolkata,non-stop,2019,12,5,14,45,After noon,2022,2,16,17,5,evening,3859,No info
185,SpiceJet,Delhi,Cochin,1 stop,2019,6,24,8,45,early morning,2022,2,16,13,15,After noon,4813,No info
186,IndiGo,Delhi,Cochin,1 stop,2019,6,27,21,50,night,2022,6,28,3,35,late night,5776,No info
187,Jet Airways,Kolkata,Banglore,1 stop,2019,6,6,9,35,morning,2022,6,7,9,45,morning,10540,In-flight meal not included
188,IndiGo,Kolkata,Banglore,non-stop,2019,3,6,15,30,After noon,2022,2,16,18,5,evening,4805,No info
189,Air Asia,Banglore,Delhi,non-stop,2019,12,6,11,10,morning,2022,2,16,13,55,After noon,3384,No info
190,IndiGo,Banglore,New Delhi,1 stop,2019,3,3,12,10,morning,2022,2,16,17,5,evening,8739,No info
191,Air India,Delhi,Cochin,1 stop,2019,3,27,5,15,early morning,2022,3,28,6,50,early morning,7166,No info
192,IndiGo,Delhi,Cochin,1 stop,2019,6,24,16,10,After noon,2022,2,16,22,30,night,6413,No info
193,Jet Airways,Banglore,Delhi,non-stop,2019,6,27,18,55,evening,2022,2,16,22,0,night,8017,No info
194,Jet Airways,Banglore,New Delhi,1 stop,2019,12,3,20,35,evening,2022,3,13,15,15,After noon,11088,In-flight meal not included
195,SpiceJet,Chennai,Kolkata,non-stop,2019,6,27,9,45,morning,2022,2,16,12,0,morning,3544,No check-in baggage included
196,Jet Airways,Kolkata,Banglore,1 stop,2019,12,6,16,30,After noon,2022,6,13,4,40,late night,12472,No info
197,Jet Airways,Delhi,Cochin,1 stop,2019,6,24,9,0,morning,2022,6,25,4,25,late night,10263,In-flight meal not included
198,Air India,Banglore,New Delhi,non-stop,2019,3,18,13,20,After noon,2022,2,16,16,10,After noon,4442,No info
199,Multiple carriers,Delhi,Cochin,1 stop,2019,3,27,7,5,early morning,2022,2,16,15,30,After noon,12538,No info
200,GoAir,Kolkata,Banglore,1 stop,2019,3,24,22,25,night,2022,3,25,7,40,early morning,10092,No info
201,Air India,Banglore,Delhi,non-stop,2019,3,6,21,5,night,2022,2,16,23,55,night,6962,No info
202,IndiGo,Delhi,Cochin,non-stop,2019,4,24,5,35,early morning,2022,2,16,8,50,early morning,5014,No info
203,Air India,Delhi,Cochin,non-stop,2019,5,18,5,10,early morning,2022,2,16,8,0,early morning,6935,No info
204,Multiple carriers,Delhi,Cochin,1 stop,2019,3,6,6,40,early morning,2022,2,16,19,0,evening,10878,No info
205,Jet Airways,Banglore,Delhi,non-stop,2019,4,18,15,15,After noon,2022,2,16,18,10,evening,7230,No info
206,IndiGo,Delhi,Cochin,1 stop,2019,3,27,16,0,After noon,2022,3,28,1,35,late night,7049,No info
207,Vistara,Banglore,Delhi,non-stop,2019,6,27,17,0,evening,2022,2,16,19,35,evening,4879,No info
208,Jet Airways,Kolkata,Banglore,1 stop,2019,5,21,14,5,After noon,2022,2,16,23,35,night,10845,In-flight meal not included
209,Jet Airways,Delhi,Cochin,2 stops,2019,5,18,23,5,night,2022,5,20,4,25,late night,15130,No info
210,IndiGo,Banglore,Delhi,non-stop,2019,12,5,0,30,late night,2022,2,16,3,25,late night,3944,No info
211,SpiceJet,Delhi,Cochin,1 stop,2019,6,6,6,5,early morning,2022,2,16,11,20,morning,5584,No info
212,Multiple carriers,Delhi,Cochin,1 stop,2019,6,6,7,5,early morning,2022,2,16,16,10,After noon,9647,No info
213,Multiple carriers,Delhi,Cochin,1 stop,2019,3,6,8,30,early morning,2022,2,16,19,15,evening,7678,No info
214,IndiGo,Delhi,Cochin,1 stop,2019,1,6,5,10,early morning,2022,2,16,10,5,morning,6843,No info
215,Jet Airways,Mumbai,Hyderabad,non-stop,2019,6,24,8,45,early morning,2022,2,16,10,15,morning,4996,In-flight meal not included
216,Vistara,Kolkata,Banglore,1 stop,2019,9,6,7,10,early morning,2022,2,16,18,50,evening,9556,No info
217,IndiGo,Banglore,Delhi,non-stop,2019,1,6,1,30,late night,2022,2,16,4,15,late night,4078,No info
218,Jet Airways,Banglore,Delhi,non-stop,2019,12,5,15,15,After noon,2022,2,16,18,10,evening,7230,No info
219,Multiple carriers,Delhi,Cochin,1 stop,2019,9,6,9,0,morning,2022,2,16,19,0,evening,12193,No info
220,Air India,Banglore,Delhi,non-stop,2019,12,4,10,0,morning,2022,2,16,12,45,morning,5912,No info
221,Air India,Delhi,Cochin,1 stop,2019,12,6,9,0,morning,2022,2,16,19,15,evening,8373,No info
222,Jet Airways,Mumbai,Hyderabad,non-stop,2019,3,18,7,10,early morning,2022,2,16,8,35,early morning,4996,In-flight meal not included
223,Multiple carriers,Delhi,Cochin,1 stop,2019,9,5,10,0,morning,2022,2,16,19,15,evening,14324,No info
224,Jet Airways,Delhi,Cochin,2 stops,2019,9,6,5,30,early morning,2022,6,10,4,25,late night,13015,No info
225,Air India,Delhi,Cochin,2 stops,2019,6,6,14,25,After noon,2022,6,7,19,15,evening,13592,No info
226,Jet Airways,Delhi,Cochin,2 stops,2019,3,3,5,25,early morning,2022,3,4,18,50,evening,18800,No info
227,IndiGo,Banglore,Delhi,non-stop,2019,4,27,23,30,night,2022,4,28,2,20,late night,3944,No info
228,SpiceJet,Mumbai,Hyderabad,non-stop,2019,5,21,5,45,early morning,2022,2,16,7,15,early morning,1966,No check-in baggage included
229,Jet Airways,Mumbai,Hyderabad,non-stop,2019,5,27,10,20,morning,2022,2,16,11,50,morning,4996,In-flight meal not included
230,Air India,Kolkata,Banglore,1 stop,2019,3,24,16,50,After noon,2022,3,25,18,30,evening,14642,No info
231,Air India,Kolkata,Banglore,non-stop,2019,12,4,20,45,evening,2022,2,16,23,20,night,4461,No info
