,Airline,Source,Destination,Route,Total_Stops,Price,journey_year,journey_month,journey_day,dep_hour,dep_min,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_min,duration_hours,duration_mins
34,2,2,5,DEL → BOM → COK,1,12374,2019,5,18,7,5,2022,2,15,12,35,5,30
35,0,2,5,DEL → BOM → COK,1,5895,2019,6,27,10,35,2022,2,15,21,0,10,25
36,3,1,0,CCU → MAA → BLR,1,4650,2019,5,21,15,5,2022,2,15,20,20,5,15
37,1,1,0,CCU → BLR,0,6246,2019,5,18,14,15,2022,2,15,16,45,2,30
38,2,0,3,BLR → BOM → DEL,1,19226,2019,6,3,7,0,2022,2,15,13,15,6,15
39,2,2,5,DEL → BOM → COK,1,14925,2019,3,6,7,5,2022,2,15,19,0,11,55
40,4,2,5,DEL → HYD → COK,1,9647,2019,5,21,7,5,2022,2,15,18,10,11,5
41,1,0,3,BLR → BOM → DEL,1,8715,2019,3,15,6,45,2022,2,15,15,15,8,30
42,2,2,5,DEL → BOM → COK,1,12374,2019,5,18,20,55,2022,5,19,19,0,22,5
43,7,0,2,BLR → DEL,0,3384,2019,6,5,11,10,2022,2,15,13,55,2,45
44,4,2,5,DEL → BOM → COK,1,13063,2019,3,21,9,0,2022,2,15,21,0,12,0
45,3,0,3,BLR → DEL,0,3528,2019,3,24,5,45,2022,2,15,8,35,2,50
46,0,0,2,BLR → DEL,0,3944,2019,5,27,4,0,2022,2,15,6,50,2,50
47,1,3,1,MAA → CCU,0,4668,2019,3,5,11,40,2022,2,15,13,55,2,15
48,1,1,0,CCU → HYD → BLR,1,6118,2019,5,15,19,0,2022,5,16,11,5,16,5
49,2,2,5,DEL → AMD → BOM → COK,2,11151,2019,6,27,23,5,2022,6,28,19,0,19,55
50,2,2,5,DEL → COK,0,7203,2019,9,3,11,0,2022,2,15,14,15,3,15
51,2,1,0,CCU → DEL → BLR,1,12122,2019,1,5,9,35,2022,5,2,10,55,25,20
52,0,0,3,BLR → DEL,0,4378,2019,3,24,22,20,2022,3,28,1,10,2,50
53,0,0,2,BLR → DEL,0,3944,2019,6,18,21,15,2022,6,19,0,15,3,0
54,7,0,2,BLR → DEL,0,4484,2019,3,4,23,55,2022,4,4,2,45,2,50
55,2,1,0,CCU → BOM → BLR,1,14232,2019,3,24,19,45,2022,3,25,12,0,16,15
56,1,0,3,BLR → BOM → AMD → DEL,2,17346,2019,1,3,8,50,2022,2,15,23,55,15,5
57,6,3,1,MAA → CCU,0,7415,2019,6,3,7,5,2022,2,15,9,20,2,15
58,4,2,5,DEL → BOM → COK,1,8074,2019,6,5,19,0,2022,5,7,1,30,6,30
59,6,4,4,BOM → DEL → HYD,1,12396,2019,6,3,15,40,2022,3,7,16,45,25,5
60,1,1,0,CCU → BOM → BLR,1,8367,2019,6,6,9,25,2022,2,15,21,50,12,25
61,1,2,5,DEL → MAA → COK,1,5118,2019,3,4,6,5,2022,4,4,9,25,27,20
62,4,2,5,DEL → BOM → COK,1,12525,2019,3,6,8,45,2022,2,15,19,0,10,15
63,0,2,5,DEL → BOM → COK,1,7192,2019,5,15,15,0,2022,5,16,1,30,10,30
64,6,3,1,MAA → CCU,0,3688,2019,5,24,7,5,2022,2,15,9,20,2,15
65,0,2,5,DEL → BOM → COK,1,5895,2019,6,24,10,35,2022,2,15,21,0,10,25
66,6,0,2,BLR → DEL,0,5404,2019,4,24,9,45,2022,2,15,12,35,2,50
67,1,4,4,BOM → HYD,0,3626,2019,6,5,13,55,2022,2,15,15,25,1,30
68,1,2,5,DEL → BHO → BOM → COK,2,10862,2019,5,21,5,55,2022,2,15,19,15,13,20
69,0,3,1,MAA → CCU,0,6298,2019,12,3,13,20,2022,2,15,15,35,2,15
70,2,4,4,BOM → HYD,0,5679,2019,1,6,7,5,2022,2,15,8,30,1,25
71,2,0,3,BLR → BOM → DEL,1,9135,2019,9,3,5,45,2022,3,13,8,15,26,30
72,4,2,5,DEL → BOM → COK,1,10792,2019,6,24,11,40,2022,2,15,19,0,7,20
73,2,2,5,DEL → AMD → BOM → COK,2,12820,2019,6,24,23,5,2022,6,25,12,35,13,30
74,0,2,5,DEL → BLR → COK,1,6894,2019,3,21,5,5,2022,2,15,10,5,5,0
75,6,0,3,BLR → DEL,0,7241,2019,9,3,9,50,2022,2,15,12,35,2,45
76,5,0,2,BLR → DEL,0,3899,2019,3,4,11,40,2022,2,15,14,30,2,50
77,0,4,4,BOM → HYD,0,4050,2019,3,4,6,25,2022,2,15,7,55,1,30
78,2,2,5,DEL → BOM → COK,1,10263,2019,6,15,17,30,2022,6,16,12,35,19,5
79,3,3,1,MAA → CCU,0,3333,2019,3,21,8,20,2022,2,15,10,35,2,15
80,2,1,0,CCU → BOM → BLR,1,10845,2019,9,6,21,10,2022,6,10,12,0,14,50
81,2,0,3,BLR → DEL,0,7230,2019,3,24,19,55,2022,2,15,22,35,2,40
82,2,1,0,CCU → BOM → BLR,1,13942,2019,6,5,6,30,2022,5,7,4,40,22,10
83,0,2,5,DEL → BOM → COK,1,5895,2019,6,27,11,25,2022,2,15,21,0,9,35
84,4,2,5,DEL → BOM → COK,1,10198,2019,5,18,9,0,2022,2,15,19,0,10,0
85,2,0,3,BLR → BOM → DEL,1,13713,2019,6,3,14,5,2022,3,7,11,25,21,20
86,0,2,5,DEL → MAA → COK,1,5637,2019,6,24,2,0,2022,2,15,7,25,5,25
87,2,2,5,DEL → JAI → BOM → COK,2,13015,2019,6,6,9,40,2022,6,7,4,25,18,45
88,2,1,0,CCU → BOM → BLR,1,7065,2019,1,4,8,25,2022,2,15,20,45,12,20
89,2,1,0,CCU → DEL → BLR,1,10704,2019,5,24,20,25,2022,5,25,14,25,18,0
90,4,2,5,DEL → HYD → COK,1,9647,2019,5,27,13,15,2022,2,15,22,30,9,15
91,4,2,5,DEL → BOM → COK,1,17058,2019,6,3,2,15,2022,2,15,13,20,11,5
92,2,0,3,BLR → BOM → DEL,1,13818,2019,12,3,16,55,2022,3,13,10,25,17,30
93,1,2,5,DEL → BHO → BOM → COK,2,13749,2019,6,3,5,55,2022,2,15,19,15,13,20
94,1,1,0,CCU → BLR,0,4881,2019,4,21,20,45,2022,2,15,23,20,2,35
95,0,3,1,MAA → CCU,0,3541,2019,6,21,5,15,2022,2,15,7,40,2,25
96,3,0,2,BLR → DEL,0,3258,2019,5,15,5,55,2022,2,15,8,35,2,40
97,2,0,2,BLR → DEL,0,6479,2019,3,6,19,50,2022,2,15,22,50,3,0
98,2,4,4,BOM → HYD,0,8041,2019,6,18,7,5,2022,2,15,8,30,1,25
99,2,2,5,DEL → ATQ → BOM → COK,2,14301,2019,12,6,20,0,2022,6,13,12,35,16,35
100,2,1,0,CCU → BOM → BLR,1,14782,2019,5,15,8,25,2022,2,15,20,45,12,20
101,2,1,0,CCU → BOM → BLR,1,14940,2019,9,6,20,0,2022,6,10,8,15,12,15
102,2,2,5,DEL → BOM → COK,1,10263,2019,6,24,20,55,2022,6,25,4,25,7,30
103,1,1,0,CCU → MAA → BLR,1,6529,2019,12,5,14,35,2022,5,13,14,35,24,0
104,1,0,2,BLR → DEL,0,6122,2019,1,5,6,10,2022,2,15,8,55,2,45
105,2,2,5,DEL → JAI → BOM → COK,2,13030,2019,5,18,19,30,2022,5,19,4,25,8,55
106,4,2,5,DEL → BOM → COK,1,11422,2019,3,27,11,40,2022,2,15,18,50,7,10
107,4,2,5,DEL → BOM → COK,1,7575,2019,3,27,4,45,2022,2,15,19,15,14,30
108,1,2,5,DEL → JDH → BOM → COK,2,11597,2019,9,5,12,55,2022,5,10,19,15,30,20
109,2,2,5,DEL → AMD → BOM → COK,2,15130,2019,5,24,23,5,2022,5,25,19,0,19,55
110,2,0,3,BLR → BOM → DEL,1,13556,2019,3,18,14,5,2022,3,16,5,5,15,0
111,0,0,2,BLR → DEL,0,5781,2019,12,4,18,55,2022,2,15,21,50,2,55
112,6,1,0,CCU → DEL → BLR,1,9398,2019,12,5,20,20,2022,5,13,9,5,12,45
113,2,2,5,DEL → BOM → COK,1,17025,2019,6,3,18,15,2022,3,7,4,25,10,10
114,5,2,5,DEL → BOM → COK,1,5282,2019,6,27,7,0,2022,2,15,12,55,5,55
115,4,2,5,DEL → HYD → COK,1,10349,2019,5,18,7,5,2022,2,15,22,30,15,25
116,1,2,5,DEL → MAA → COK,1,12678,2019,6,3,17,20,2022,3,7,9,25,16,5
117,4,2,5,DEL → BOM → COK,1,15148,2019,3,3,15,25,2022,3,4,1,35,10,10
118,6,0,2,BLR → DEL,0,4669,2019,12,6,7,0,2022,2,15,9,40,2,40
119,2,2,5,DEL → BOM → COK,1,15555,2019,9,5,7,5,2022,2,15,19,0,11,55
120,3,0,2,BLR → DEL,0,3972,2019,9,4,5,55,2022,2,15,8,35,2,40
121,1,4,4,BOM → HYD,0,3101,2019,3,5,15,0,2022,2,15,16,25,1,25
122,2,1,0,CCU → BOM → BLR,1,9664,2019,6,5,20,0,2022,5,7,10,5,14,5
123,1,2,5,DEL → BOM → COK,1,27431,2019,1,3,23,0,2022,3,2,19,15,20,15
124,0,3,1,MAA → CCU,0,3541,2019,12,5,5,15,2022,2,15,7,40,2,25
125,1,1,0,CCU → BBI → BOM → BLR,2,10677,2019,5,21,12,0,2022,5,22,11,10,23,10
126,2,1,0,CCU → BOM → BLR,1,13045,2019,12,6,14,5,2022,6,13,8,15,18,10
127,2,1,0,CCU → BOM → BLR,1,14389,2019,6,5,20,0,2022,5,7,12,0,16,0
128,0,0,2,BLR → DEL,0,3944,2019,6,24,4,0,2022,2,15,6,50,2,50
129,0,3,1,MAA → CCU,0,3598,2019,3,6,14,45,2022,2,15,17,5,2,20
130,1,0,3,BLR → MAA → DEL,1,5933,2019,3,21,11,50,2022,2,15,19,50,8,0
131,2,2,5,DEL → BOM → COK,1,10263,2019,6,15,11,30,2022,6,16,4,25,16,55
132,6,2,5,DEL → COK,0,6217,2019,12,5,14,40,2022,2,15,17,50,3,10
133,0,1,0,CCU → BLR,0,4805,2019,6,15,20,25,2022,2,15,23,10,2,45
134,4,2,5,DEL → BOM → COK,1,14068,2019,5,21,11,30,2022,5,22,1,30,14,0
135,2,2,5,DEL → AMD → BOM → COK,2,15130,2019,5,18,19,10,2022,5,19,19,0,23,50
136,2,2,5,DEL → NAG → BOM → COK,2,13377,2019,6,6,6,45,2022,6,7,4,25,21,40
137,1,2,5,DEL → GOI → BOM → COK,2,10442,2019,6,27,22,0,2022,6,28,19,15,21,15
138,2,0,2,BLR → DEL,0,4031,2019,5,24,6,0,2022,2,15,8,45,2,45
139,2,2,5,DEL → BOM → COK,1,17025,2019,3,3,8,0,2022,2,15,18,50,10,50
140,4,2,5,DEL → BOM → COK,1,13018,2019,9,4,17,30,2022,4,10,1,30,8,0
141,5,1,0,CCU → BOM → BLR,1,6687,2019,6,6,23,30,2022,6,7,7,45,8,15
142,0,2,5,DEL → MAA → COK,1,5637,2019,6,15,2,0,2022,2,15,7,25,5,25
143,0,2,5,DEL → HYD → COK,1,6443,2019,9,6,7,35,2022,2,15,16,10,8,35
144,4,2,5,DEL → HYD → COK,1,9487,2019,5,21,13,5,2022,5,22,0,55,11,50
145,2,1,0,CCU → BOM → BLR,1,10845,2019,5,21,20,0,2022,5,22,23,35,27,35
146,2,2,5,DEL → ATQ → BOM → COK,2,15319,2019,3,6,20,0,2022,6,4,4,25,8,25
147,1,2,5,DEL → MAA → COK,1,5118,2019,3,4,12,30,2022,4,4,9,25,20,55
148,0,2,5,DEL → BLR → COK,1,6148,2019,6,24,15,10,2022,2,15,20,0,4,50
149,4,2,5,DEL → BOM → COK,1,7006,2019,9,6,12,50,2022,2,15,21,0,8,10
150,3,1,0,CCU → BLR,0,3874,2019,3,4,22,20,2022,4,4,0,40,2,20
151,2,2,5,DEL → BDQ → BOM → COK,2,9271,2019,3,21,18,25,2022,3,22,18,50,24,25
152,5,0,2,BLR → DEL,0,3899,2019,6,27,11,40,2022,2,15,14,30,2,50
153,2,1,0,CCU → BOM → BLR,1,14782,2019,12,5,8,25,2022,2,15,20,45,12,20
154,2,1,0,CCU → BOM → BLR,1,8587,2019,5,24,20,0,2022,5,25,8,15,12,15
155,1,1,0,CCU → JAI → BOM → BLR,2,10698,2019,9,5,8,20,2022,5,10,7,55,23,35
156,2,2,5,DEL → ATQ → BOM → COK,2,14301,2019,6,27,20,0,2022,6,28,12,35,16,35
157,0,0,3,BLR → DEL,0,8856,2019,3,3,18,55,2022,2,15,21,45,2,50
158,2,1,0,CCU → BOM → BLR,1,10845,2019,12,5,16,30,2022,5,13,18,15,25,45
159,2,2,5,DEL → BOM → COK,1,17025,2019,6,3,2,15,2022,3,7,4,25,26,10
160,2,1,0,CCU → DEL → BLR,1,9315,2019,1,5,9,35,2022,5,2,14,25,28,50
161,0,0,3,BLR → DEL,0,4778,2019,3,24,0,40,2022,2,15,3,25,2,45
162,1,1,0,CCU → BBI → BLR,1,7663,2019,9,6,12,0,2022,6,10,13,15,25,15
163,0,2,5,DEL → HYD → COK,1,6443,2019,9,5,6,50,2022,2,15,16,10,9,20
164,3,2,5,DEL → PNQ → COK,1,5265,2019,12,6,8,45,2022,2,15,13,15,4,30
165,2,2,5,DEL → BOM → COK,1,12899,2019,5,27,13,0,2022,5,28,4,25,15,25
166,1,4,4,BOM → HYD,0,6093,2019,3,3,13,55,2022,2,15,15,25,1,30
167,3,0,2,BLR → DEL,0,3312,2019,5,21,5,55,2022,2,15,8,35,2,40
168,2,2,5,DEL → BOM → COK,1,6541,2019,3,27,19,15,2022,3,28,4,25,9,10
169,0,0,2,BLR → DEL,0,3420,2019,5,27,1,30,2022,2,15,4,15,2,45
170,2,2,5,DEL → BOM → COK,1,5178,2019,3,4,14,0,2022,4,4,12,35,22,35
171,1,2,5,DEL → COK,0,8247,2019,4,18,18,5,2022,2,15,21,10,3,5
172,2,1,0,CCU → DEL → BLR,1,14677,2019,9,6,9,35,2022,2,15,21,5,11,30
173,4,2,5,DEL → BOM → COK,1,13588,2019,6,27,11,30,2022,2,15,21,0,9,30
174,2,1,0,CCU → BOM → BLR,1,9664,2019,6,5,21,10,2022,5,7,9,20,12,10
175,2,1,0,CCU → BOM → BLR,1,13045,2019,12,6,16,30,2022,6,13,10,5,17,35
176,0,2,5,DEL → BOM → COK,1,5074,2019,3,4,20,25,2022,4,4,1,30,5,5
177,6,1,0,CCU → DEL → BLR,1,9346,2019,5,21,17,0,2022,5,22,18,50,25,50
178,2,1,0,CCU → BOM → BLR,1,9664,2019,6,5,14,5,2022,5,7,10,5,20,0
179,4,2,5,DEL → BOM → COK,1,14278,2019,5,21,8,0,2022,2,15,21,0,13,0
180,2,2,5,DEL → BOM → COK,1,10263,2019,1,6,10,0,2022,6,2,4,25,18,25
181,2,4,4,BOM → HYD,0,5679,2019,3,27,19,35,2022,2,15,21,5,1,30
182,4,2,5,DEL → BOM → COK,1,13728,2019,5,15,16,0,2022,5,16,1,30,9,30
183,2,1,0,CCU → BOM → BLR,1,9664,2019,6,5,20,0,2022,5,7,12,0,16,0
184,0,3,1,MAA → CCU,0,3859,2019,12,5,14,45,2022,2,15,17,5,2,20
185,3,2,5,DEL → PNQ → COK,1,4813,2019,6,24,8,45,2022,2,15,13,15,4,30
186,0,2,5,DEL → LKO → COK,1,5776,2019,6,27,21,50,2022,6,28,3,35,5,45
187,2,1,0,CCU → DEL → BLR,1,10540,2019,6,6,9,35,2022,6,7,9,45,24,10
188,0,1,0,CCU → BLR,0,4805,2019,3,6,15,30,2022,2,15,18,5,2,35
189,7,0,2,BLR → DEL,0,3384,2019,12,6,11,10,2022,2,15,13,55,2,45
190,0,0,3,BLR → HYD → DEL,1,8739,2019,3,3,12,10,2022,2,15,17,5,4,55
191,1,2,5,DEL → TRV → COK,1,7166,2019,3,27,5,15,2022,3,28,6,50,25,35
192,0,2,5,DEL → HYD → COK,1,6413,2019,6,24,16,10,2022,2,15,22,30,6,20
193,2,0,2,BLR → DEL,0,8017,2019,6,27,18,55,2022,2,15,22,0,3,5
194,2,0,3,BLR → BOM → DEL,1,11088,2019,12,3,20,35,2022,3,13,15,15,18,40
195,3,3,1,MAA → CCU,0,3544,2019,6,27,9,45,2022,2,15,12,0,2,15
196,2,1,0,CCU → BOM → BLR,1,12472,2019,12,6,16,30,2022,6,13,4,40,12,10
197,2,2,5,DEL → BOM → COK,1,10263,2019,6,24,9,0,2022,6,25,4,25,19,25
198,1,0,3,BLR → DEL,0,4442,2019,3,18,13,20,2022,2,15,16,10,2,50
199,4,2,5,DEL → BOM → COK,1,12538,2019,3,27,7,5,2022,2,15,15,30,8,25
200,5,1,0,CCU → BOM → BLR,1,10092,2019,3,24,22,25,2022,3,25,7,40,9,15
201,1,0,2,BLR → DEL,0,6962,2019,3,6,21,5,2022,2,15,23,55,2,50
202,0,2,5,DEL → COK,0,5014,2019,4,24,5,35,2022,2,15,8,50,3,15
203,1,2,5,DEL → COK,0,6935,2019,5,18,5,10,2022,2,15,8,0,2,50
204,4,2,5,DEL → BOM → COK,1,10878,2019,3,6,6,40,2022,2,15,19,0,12,20
205,2,0,2,BLR → DEL,0,7230,2019,4,18,15,15,2022,2,15,18,10,2,55
206,0,2,5,DEL → BOM → COK,1,7049,2019,3,27,16,0,2022,3,28,1,35,9,35
207,6,0,2,BLR → DEL,0,4879,2019,6,27,17,0,2022,2,15,19,35,2,35
208,2,1,0,CCU → BOM → BLR,1,10845,2019,5,21,14,5,2022,2,15,23,35,9,30
209,2,2,5,DEL → AMD → BOM → COK,2,15130,2019,5,18,23,5,2022,5,20,4,25,29,20
210,0,0,2,BLR → DEL,0,3944,2019,12,5,0,30,2022,2,15,3,25,2,55
211,3,2,5,DEL → MAA → COK,1,5584,2019,6,6,6,5,2022,2,15,11,20,5,15
212,4,2,5,DEL → HYD → COK,1,9647,2019,6,6,7,5,2022,2,15,16,10,9,5
213,4,2,5,DEL → BOM → COK,1,7678,2019,3,6,8,30,2022,2,15,19,15,10,45
214,0,2,5,DEL → BLR → COK,1,6843,2019,1,6,5,10,2022,2,15,10,5,4,55
215,2,4,4,BOM → HYD,0,4996,2019,6,24,8,45,2022,2,15,10,15,1,30
216,6,1,0,CCU → DEL → BLR,1,9556,2019,9,6,7,10,2022,2,15,18,50,11,40
217,0,0,2,BLR → DEL,0,4078,2019,1,6,1,30,2022,2,15,4,15,2,45
218,2,0,2,BLR → DEL,0,7230,2019,12,5,15,15,2022,2,15,18,10,2,55
219,4,2,5,DEL → BOM → COK,1,12193,2019,9,6,9,0,2022,2,15,19,0,10,0
220,1,0,2,BLR → DEL,0,5912,2019,12,4,10,0,2022,2,15,12,45,2,45
221,1,2,5,DEL → BOM → COK,1,8373,2019,12,6,9,0,2022,2,15,19,15,10,15
222,2,4,4,BOM → HYD,0,4996,2019,3,18,7,10,2022,2,15,8,35,1,25
223,4,2,5,DEL → BOM → COK,1,14324,2019,9,5,10,0,2022,2,15,19,15,9,15
224,2,2,5,DEL → JAI → BOM → COK,2,13015,2019,9,6,5,30,2022,6,10,4,25,22,55
225,1,2,5,DEL → CCU → BOM → COK,2,13592,2019,6,6,14,25,2022,6,7,19,15,28,50
226,2,2,5,DEL → IDR → BOM → COK,2,18800,2019,3,3,5,25,2022,3,4,18,50,37,25
227,0,0,2,BLR → DEL,0,3944,2019,4,27,23,30,2022,4,28,2,20,2,50
228,3,4,4,BOM → HYD,0,1966,2019,5,21,5,45,2022,2,15,7,15,1,30
229,2,4,4,BOM → HYD,0,4996,2019,5,27,10,20,2022,2,15,11,50,1,30
230,1,1,0,CCU → BOM → BLR,1,14642,2019,3,24,16,50,2022,3,25,18,30,25,40
231,1,1,0,CCU → BLR,0,4461,2019,12,4,20,45,2022,2,15,23,20,2,35
232,1,2,5,DEL → BOM → COK,1,10192,2019,5,18,13,0,2022,2,15,19,15,6,15
233,2,2,5,DEL → BOM → COK,1,13844,2019,9,3,2,15,2022,2,15,19,45,17,30
234,0,2,5,DEL → LKO → COK,1,6350,2019,1,5,21,50,2022,5,2,3,35,5,45
235,7,1,0,CCU → BLR,0,4410,2019,1,5,10,20,2022,2,15,12,55,2,35
236,2,2,5,DEL → BOM → COK,1,17025,2019,6,3,18,15,2022,3,7,19,45,25,30
237,4,2,5,DEL → BOM → COK,1,13728,2019,5,18,7,5,2022,2,15,21,0,13,55
238,0,0,3,BLR → DEL,0,8856,2019,3,15,18,25,2022,2,15,21,20,2,55
239,4,2,5,DEL → BOM → COK,1,12525,2019,6,24,8,45,2022,2,15,19,0,10,15
240,2,0,3,BLR → BOM → DEL,1,13556,2019,3,18,11,40,2022,2,15,20,20,8,40
241,2,1,0,CCU → BOM → BLR,1,10845,2019,6,6,6,30,2022,2,15,12,0,5,30
242,4,2,5,DEL → BOM → COK,1,13588,2019,9,6,9,0,2022,2,15,21,0,12,0
243,3,3,1,MAA → CCU,0,3544,2019,12,6,9,45,2022,2,15,12,0,2,15
244,6,3,1,MAA → CCU,0,4843,2019,3,18,7,5,2022,2,15,9,20,2,15
245,0,0,2,BLR → DEL,0,3944,2019,4,24,23,30,2022,4,25,2,20,2,50
246,2,2,5,DEL → BOM → COK,1,10578,2019,9,6,19,15,2022,6,10,4,25,9,10
247,0,2,5,DEL → BOM → COK,1,6980,2019,5,15,10,35,2022,2,15,21,0,10,25
248,6,3,1,MAA → CCU,0,11983,2019,6,27,17,45,2022,2,15,20,5,2,20
249,3,2,5,DEL → PNQ → COK,1,5265,2019,6,6,8,45,2022,2,15,13,15,4,30
250,6,2,5,DEL → COK,0,8002,2019,3,3,6,0,2022,2,15,9,10,3,10
251,1,2,5,DEL → AMD → BOM → COK,2,10652,2019,1,6,19,45,2022,6,2,19,15,23,30
252,2,1,0,CCU → BOM → BLR,1,10845,2019,5,24,16,30,2022,5,25,19,50,27,20
253,4,2,5,DEL → HYD → COK,1,6602,2019,3,27,9,45,2022,2,15,22,20,12,35
254,1,2,5,DEL → BOM → COK,1,6588,2019,3,21,19,0,2022,3,22,19,15,24,15
255,3,4,4,BOM → HYD,0,3174,2019,3,21,13,10,2022,2,15,14,30,1,20
256,1,0,2,BLR → DEL,0,5229,2019,9,5,10,0,2022,2,15,12,45,2,45
257,2,0,2,BLR → DEL,0,5770,2019,6,21,7,10,2022,2,15,10,10,3,0
258,2,2,5,DEL → BOM → COK,1,14715,2019,6,6,8,0,2022,2,15,19,0,11,0
259,2,2,5,DEL → JAI → BOM → COK,2,13015,2019,3,6,5,30,2022,2,15,19,0,13,30
260,0,0,2,BLR → DEL,0,3360,2019,3,6,22,10,2022,6,4,1,0,2,50
261,5,0,3,BLR → DEL,0,6723,2019,3,3,20,55,2022,2,15,23,50,2,55
262,0,1,0,CCU → BLR,0,4463,2019,3,18,9,35,2022,2,15,12,20,2,45
263,0,2,5,DEL → HYD → COK,1,6172,2019,9,3,4,55,2022,2,15,16,10,11,15
264,1,1,0,CCU → IXR → DEL → BLR,2,12304,2019,5,21,5,50,2022,2,15,20,25,14,35
265,4,2,5,DEL → BOM → COK,1,7696,2019,3,21,11,40,2022,3,22,1,35,13,55
266,0,2,5,DEL → BOM → COK,1,5685,2019,6,24,11,25,2022,6,25,1,30,14,5
267,1,1,0,CCU → BOM → BLR,1,8367,2019,12,6,16,50,2022,6,13,7,55,15,5
268,1,3,1,MAA → CCU,0,19631,2019,1,3,11,40,2022,2,15,13,55,2,15
269,2,0,3,BLR → BOM → DEL,1,13503,2019,6,3,14,5,2022,3,7,5,5,15,0
270,2,1,0,CCU → BOM → BLR,1,14782,2019,1,5,21,10,2022,5,2,10,5,12,55
271,4,2,5,DEL → HYD → COK,1,6514,2019,12,6,7,10,2022,2,15,16,10,9,0
272,1,2,5,DEL → BOM → COK,1,9930,2019,1,6,7,0,2022,2,15,19,15,12,15
273,4,2,5,DEL → IXU → BOM → COK,2,18276,2019,6,6,17,50,2022,6,7,1,30,7,40
274,1,2,5,DEL → MAA → COK,1,4488,2019,9,4,6,5,2022,4,10,9,25,27,20
275,0,4,4,BOM → HYD,0,2755,2019,3,15,21,20,2022,2,15,22,45,1,25
276,1,4,4,BOM → HYD,0,2576,2019,3,27,6,20,2022,2,15,7,40,1,20
