airline,embarked,destination,Route,stops,journey_year,journey_month,journey_day,weekday,dep_hour,dep_min,departure_period,Arrival_hour,Arrival_min,arrival_period,Arrived_next_day,duration_hours,duration_mins,Duration_in_mins,price,additional_info,Air Asia,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,destination_Banglore,destination_Cochin,destination_Delhi,destination_Hyderabad,destination_Kolkata,source_Banglore,source_Chennai,source_Delhi,source_Kolkata,source_Mumbai,1 stop,2 stops,3 stops,4 stops,non-stop,departure_After noon,departure_early morning,departure_evening,departure_late night,departure_morning,departure_night,arrival_After noon,arrival_early morning,arrival_evening,arrival_late night,arrival_morning,arrival_night
Jet Airways,source_Kolkata,destination_Banglore,CCU → BOM → BLR,1 stop,2019,6,5,2,18,55,departure_evening,8,15,arrival_early morning,True,13,20,800,7758,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Jet Airways,source_Delhi,destination_Cochin,DEL → IDR → BOM → COK,2 stops,2019,9,6,4,21,25,departure_night,12,35,arrival_morning,True,15,10,910,13293,No info,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
IndiGo,source_Delhi,destination_Cochin,DEL → LKO → COK,1 stop,2019,1,6,6,21,50,departure_night,3,35,arrival_late night,True,5,45,345,8239,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
GoAir,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,5,15,2,7,0,departure_early morning,12,55,arrival_morning,False,5,55,355,7683,No info,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Vistara,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,6,18,1,9,45,departure_morning,12,35,arrival_morning,False,2,50,170,4669,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Vistara,source_Chennai,destination_Kolkata,MAA → CCU,non-stop,2019,6,15,5,7,5,departure_early morning,9,20,arrival_morning,False,2,15,135,3688,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Vistara,source_Chennai,destination_Kolkata,MAA → CCU,non-stop,2019,6,18,1,7,5,departure_early morning,9,20,arrival_morning,False,2,15,135,3688,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Air India,source_Kolkata,destination_Banglore,CCU → GAU → DEL → BLR,2 stops,2019,1,5,5,9,50,departure_morning,23,15,arrival_night,False,13,25,805,13228,No info,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
IndiGo,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,6,4,1,4,0,departure_late night,6,50,arrival_early morning,False,2,50,170,4424,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Jet Airways,source_Delhi,destination_Cochin,DEL → NAG → BOM → COK,2 stops,2019,6,15,5,14,35,departure_After noon,12,35,arrival_morning,True,22,0,1320,10920,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Jet Airways,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,5,18,5,7,5,departure_early morning,12,35,arrival_morning,False,5,30,330,12374,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
IndiGo,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,6,27,3,10,35,departure_morning,21,0,arrival_night,False,10,25,625,5895,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SpiceJet,source_Kolkata,destination_Banglore,CCU → MAA → BLR,1 stop,2019,5,21,1,15,5,departure_After noon,20,20,arrival_evening,False,5,15,315,4650,No info,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Air India,source_Kolkata,destination_Banglore,CCU → BLR,non-stop,2019,5,18,5,14,15,departure_After noon,16,45,arrival_After noon,False,2,30,150,6246,No info,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Jet Airways,source_Banglore,destination_Delhi,BLR → BOM → DEL,1 stop,2019,6,3,0,7,0,departure_early morning,13,15,arrival_After noon,False,6,15,375,19226,No info,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Jet Airways,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,3,6,2,7,5,departure_early morning,19,0,arrival_evening,False,11,55,715,14925,No info,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Multiple carriers,source_Delhi,destination_Cochin,DEL → HYD → COK,1 stop,2019,5,21,1,7,5,departure_early morning,18,10,arrival_evening,False,11,5,665,9647,No info,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Air India,source_Banglore,destination_Delhi,BLR → BOM → DEL,1 stop,2019,3,15,4,6,45,departure_early morning,15,15,arrival_After noon,False,8,30,510,8715,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Jet Airways,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,5,18,5,20,55,departure_evening,19,0,arrival_evening,True,22,5,1325,12374,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Air Asia,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,6,5,2,11,10,departure_morning,13,55,arrival_After noon,False,2,45,165,3384,No info,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Multiple carriers,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,3,21,3,9,0,departure_morning,21,0,arrival_night,False,12,0,720,13063,No info,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SpiceJet,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,3,24,6,5,45,departure_early morning,8,35,arrival_early morning,False,2,50,170,3528,No check-in baggage included,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
IndiGo,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,5,27,0,4,0,departure_late night,6,50,arrival_early morning,False,2,50,170,3944,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Air India,source_Chennai,destination_Kolkata,MAA → CCU,non-stop,2019,3,5,1,11,40,departure_morning,13,55,arrival_After noon,False,2,15,135,4668,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Air India,source_Kolkata,destination_Banglore,CCU → HYD → BLR,1 stop,2019,5,15,2,19,0,departure_evening,11,5,arrival_morning,True,16,5,965,6118,No info,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Jet Airways,source_Delhi,destination_Cochin,DEL → AMD → BOM → COK,2 stops,2019,6,27,3,23,5,departure_night,19,0,arrival_evening,True,19,55,1195,11151,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Jet Airways,source_Delhi,destination_Cochin,DEL → COK,non-stop,2019,9,3,1,11,0,departure_morning,14,15,arrival_After noon,False,3,15,195,7203,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Jet Airways,source_Kolkata,destination_Banglore,CCU → DEL → BLR,1 stop,2019,1,5,5,9,35,departure_morning,10,55,arrival_morning,True,25,20,1520,12122,No info,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
IndiGo,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,3,24,6,22,20,departure_night,1,10,arrival_late night,True,2,50,170,4378,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
IndiGo,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,6,18,1,21,15,departure_night,0,15,arrival_late night,True,3,0,180,3944,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Air Asia,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,3,4,0,23,55,departure_night,2,45,arrival_late night,True,2,50,170,4484,No info,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Jet Airways,source_Kolkata,destination_Banglore,CCU → BOM → BLR,1 stop,2019,3,24,6,19,45,departure_evening,12,0,arrival_morning,True,16,15,975,14232,No info,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Air India,source_Banglore,destination_Delhi,BLR → BOM → AMD → DEL,2 stops,2019,1,3,3,8,50,departure_early morning,23,55,arrival_night,False,15,5,905,17346,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Vistara,source_Chennai,destination_Kolkata,MAA → CCU,non-stop,2019,6,3,0,7,5,departure_early morning,9,20,arrival_morning,False,2,15,135,7415,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Multiple carriers,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,6,5,2,19,0,departure_evening,1,30,arrival_late night,True,6,30,390,8074,No info,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Vistara,source_Mumbai,destination_Hyderabad,BOM → DEL → HYD,1 stop,2019,6,3,0,15,40,departure_After noon,16,45,arrival_After noon,True,25,5,1505,12396,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Air India,source_Kolkata,destination_Banglore,CCU → BOM → BLR,1 stop,2019,6,6,3,9,25,departure_morning,21,50,arrival_night,False,12,25,745,8367,No info,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Air India,source_Delhi,destination_Cochin,DEL → MAA → COK,1 stop,2019,3,4,0,6,5,departure_early morning,9,25,arrival_morning,True,27,20,1640,5118,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Multiple carriers,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,3,6,2,8,45,departure_early morning,19,0,arrival_evening,False,10,15,615,12525,No info,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
IndiGo,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,5,15,2,15,0,departure_After noon,1,30,arrival_late night,True,10,30,630,7192,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Vistara,source_Chennai,destination_Kolkata,MAA → CCU,non-stop,2019,5,24,4,7,5,departure_early morning,9,20,arrival_morning,False,2,15,135,3688,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
IndiGo,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,6,24,0,10,35,departure_morning,21,0,arrival_night,False,10,25,625,5895,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Vistara,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,4,24,2,9,45,departure_morning,12,35,arrival_morning,False,2,50,170,5404,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Air India,source_Mumbai,destination_Hyderabad,BOM → HYD,non-stop,2019,6,5,2,13,55,departure_After noon,15,25,arrival_After noon,False,1,30,90,3626,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Air India,source_Delhi,destination_Cochin,DEL → BHO → BOM → COK,2 stops,2019,5,21,1,5,55,departure_early morning,19,15,arrival_evening,False,13,20,800,10862,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
IndiGo,source_Chennai,destination_Kolkata,MAA → CCU,non-stop,2019,12,3,1,13,20,departure_After noon,15,35,arrival_After noon,False,2,15,135,6298,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Jet Airways,source_Mumbai,destination_Hyderabad,BOM → HYD,non-stop,2019,1,6,6,7,5,departure_early morning,8,30,arrival_early morning,False,1,25,85,5679,No info,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Jet Airways,source_Banglore,destination_Delhi,BLR → BOM → DEL,1 stop,2019,9,3,1,5,45,departure_early morning,8,15,arrival_early morning,True,26,30,1590,9135,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Multiple carriers,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,6,24,0,11,40,departure_morning,19,0,arrival_evening,False,7,20,440,10792,In-flight meal not included,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Jet Airways,source_Delhi,destination_Cochin,DEL → AMD → BOM → COK,2 stops,2019,6,24,0,23,5,departure_night,12,35,arrival_morning,True,13,30,810,12820,No info,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
IndiGo,source_Delhi,destination_Cochin,DEL → BLR → COK,1 stop,2019,3,21,3,5,5,departure_early morning,10,5,arrival_morning,False,5,0,300,6894,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Vistara,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,9,3,1,9,50,departure_morning,12,35,arrival_morning,False,2,45,165,7241,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
GoAir,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,3,4,0,11,40,departure_morning,14,30,arrival_After noon,False,2,50,170,3899,No info,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
IndiGo,source_Mumbai,destination_Hyderabad,BOM → HYD,non-stop,2019,3,4,0,6,25,departure_early morning,7,55,arrival_early morning,False,1,30,90,4050,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Jet Airways,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,6,15,5,17,30,departure_evening,12,35,arrival_morning,True,19,5,1145,10263,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
SpiceJet,source_Chennai,destination_Kolkata,MAA → CCU,non-stop,2019,3,21,3,8,20,departure_early morning,10,35,arrival_morning,False,2,15,135,3333,No check-in baggage included,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Jet Airways,source_Kolkata,destination_Banglore,CCU → BOM → BLR,1 stop,2019,9,6,4,21,10,departure_night,12,0,arrival_morning,True,14,50,890,10845,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Jet Airways,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,3,24,6,19,55,departure_evening,22,35,arrival_night,False,2,40,160,7230,No info,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
