Unnamed: 0,airline,embarked,destination,stops,journey_year,journey_month,journey_day,dep_hour,dep_min,departure_time,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_min,arrival_time,price,additional_info,Air Asia,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Banglore,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,Banglore.1,Chennai,Delhi.1,Kolkata.1,Mumbai,1 stop,2 stops,3 stops,4 stops,non-stop,After noon,early morning,evening,late night,morning,night,Air Asia,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,destination_Banglore,destination_Cochin,destination_Delhi,destination_Hyderabad,destination_Kolkata,source_Banglore,source_Chennai,source_Delhi,source_Kolkata,source_Mumbai,1 stop,2 stops,3 stops,4 stops,non-stop,After noon,early morning,evening,late night,morning,night
10,Air India,source_Delhi,destination_Cochin,1 stop,2019,1,6,9,45,morning,2022,2,16,23,0,night,8908,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
11,IndiGo,source_Kolkata,destination_Banglore,non-stop,2019,4,18,20,20,evening,2022,2,16,22,55,night,4175,No info,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
12,Air India,source_Chennai,destination_Kolkata,non-stop,2019,6,24,11,40,morning,2022,2,16,13,55,After noon,4668,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
13,Jet Airways,source_Kolkata,destination_Banglore,1 stop,2019,9,5,21,10,night,2022,5,10,9,20,morning,9664,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
14,IndiGo,source_Kolkata,destination_Banglore,non-stop,2019,4,24,17,15,evening,2022,2,16,19,50,evening,4805,No info,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
15,Air India,source_Delhi,destination_Cochin,2 stops,2019,3,3,16,40,After noon,2022,3,4,19,15,evening,14012,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
16,SpiceJet,source_Delhi,destination_Cochin,1 stop,2019,4,15,8,45,early morning,2022,2,16,13,15,After noon,5831,No info,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
17,Jet Airways,source_Delhi,destination_Cochin,1 stop,2019,12,6,14,0,After noon,2022,6,13,12,35,morning,10263,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
18,Air India,source_Delhi,destination_Cochin,2 stops,2019,12,6,20,15,evening,2022,6,13,19,15,evening,13382,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
19,Jet Airways,source_Delhi,destination_Cochin,1 stop,2019,5,27,16,0,After noon,2022,5,28,12,35,morning,12899,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
20,GoAir,source_Delhi,destination_Cochin,1 stop,2019,6,3,14,10,After noon,2022,2,16,19,20,evening,19496,No info,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
21,Air India,source_Banglore,destination_Delhi,1 stop,2019,3,21,22,0,night,2022,3,19,13,20,After noon,6956,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22,IndiGo,source_Banglore,destination_Delhi,non-stop,2019,3,4,4,0,late night,2022,2,16,6,50,early morning,3944,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
23,IndiGo,source_Banglore,destination_Delhi,non-stop,2019,1,5,18,55,evening,2022,2,16,21,50,night,4824,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
24,Jet Airways,source_Kolkata,destination_Banglore,1 stop,2019,6,5,18,55,evening,2022,5,7,8,15,early morning,7758,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
25,Jet Airways,source_Delhi,destination_Cochin,2 stops,2019,9,6,21,25,night,2022,6,10,12,35,morning,13293,No info,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
26,IndiGo,source_Delhi,destination_Cochin,1 stop,2019,1,6,21,50,night,2022,6,2,3,35,late night,8239,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
27,GoAir,source_Delhi,destination_Cochin,1 stop,2019,5,15,7,0,early morning,2022,2,16,12,55,morning,7683,No info,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
28,Vistara,source_Banglore,destination_Delhi,non-stop,2019,6,18,9,45,morning,2022,2,16,12,35,morning,4669,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,Vistara,source_Chennai,destination_Kolkata,non-stop,2019,6,15,7,5,early morning,2022,2,16,9,20,morning,3688,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
30,Vistara,source_Chennai,destination_Kolkata,non-stop,2019,6,18,7,5,early morning,2022,2,16,9,20,morning,3688,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31,Air India,source_Kolkata,destination_Banglore,2 stops,2019,1,5,9,50,morning,2022,2,16,23,15,night,13228,No info,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
32,IndiGo,source_Banglore,destination_Delhi,non-stop,2019,6,4,4,0,late night,2022,2,16,6,50,early morning,4424,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
33,Jet Airways,source_Delhi,destination_Cochin,2 stops,2019,6,15,14,35,After noon,2022,6,16,12,35,morning,10920,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
34,Jet Airways,source_Delhi,destination_Cochin,1 stop,2019,5,18,7,5,early morning,2022,2,16,12,35,morning,12374,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
35,IndiGo,source_Delhi,destination_Cochin,1 stop,2019,6,27,10,35,morning,2022,2,16,21,0,night,5895,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
36,SpiceJet,source_Kolkata,destination_Banglore,1 stop,2019,5,21,15,5,After noon,2022,2,16,20,20,evening,4650,No info,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
37,Air India,source_Kolkata,destination_Banglore,non-stop,2019,5,18,14,15,After noon,2022,2,16,16,45,After noon,6246,No info,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
38,Jet Airways,source_Banglore,destination_Delhi,1 stop,2019,6,3,7,0,early morning,2022,2,16,13,15,After noon,19226,No info,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
39,Jet Airways,source_Delhi,destination_Cochin,1 stop,2019,3,6,7,5,early morning,2022,2,16,19,0,evening,14925,No info,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
40,Multiple carriers,source_Delhi,destination_Cochin,1 stop,2019,5,21,7,5,early morning,2022,2,16,18,10,evening,9647,No info,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
41,Air India,source_Banglore,destination_Delhi,1 stop,2019,3,15,6,45,early morning,2022,2,16,15,15,After noon,8715,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
42,Jet Airways,source_Delhi,destination_Cochin,1 stop,2019,5,18,20,55,evening,2022,5,19,19,0,evening,12374,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
43,Air Asia,source_Banglore,destination_Delhi,non-stop,2019,6,5,11,10,morning,2022,2,16,13,55,After noon,3384,No info,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
44,Multiple carriers,source_Delhi,destination_Cochin,1 stop,2019,3,21,9,0,morning,2022,2,16,21,0,night,13063,No info,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
45,SpiceJet,source_Banglore,destination_Delhi,non-stop,2019,3,24,5,45,early morning,2022,2,16,8,35,early morning,3528,No check-in baggage included,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
46,IndiGo,source_Banglore,destination_Delhi,non-stop,2019,5,27,4,0,late night,2022,2,16,6,50,early morning,3944,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
47,Air India,source_Chennai,destination_Kolkata,non-stop,2019,3,5,11,40,morning,2022,2,16,13,55,After noon,4668,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
48,Air India,source_Kolkata,destination_Banglore,1 stop,2019,5,15,19,0,evening,2022,5,16,11,5,morning,6118,No info,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
49,Jet Airways,source_Delhi,destination_Cochin,2 stops,2019,6,27,23,5,night,2022,6,28,19,0,evening,11151,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
50,Jet Airways,source_Delhi,destination_Cochin,non-stop,2019,9,3,11,0,morning,2022,2,16,14,15,After noon,7203,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
51,Jet Airways,source_Kolkata,destination_Banglore,1 stop,2019,1,5,9,35,morning,2022,5,2,10,55,morning,12122,No info,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
52,IndiGo,source_Banglore,destination_Delhi,non-stop,2019,3,24,22,20,night,2022,3,28,1,10,late night,4378,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
53,IndiGo,source_Banglore,destination_Delhi,non-stop,2019,6,18,21,15,night,2022,6,19,0,15,late night,3944,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
54,Air Asia,source_Banglore,destination_Delhi,non-stop,2019,3,4,23,55,night,2022,4,4,2,45,late night,4484,No info,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
55,Jet Airways,source_Kolkata,destination_Banglore,1 stop,2019,3,24,19,45,evening,2022,3,25,12,0,morning,14232,No info,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
56,Air India,source_Banglore,destination_Delhi,2 stops,2019,1,3,8,50,early morning,2022,2,16,23,55,night,17346,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
57,Vistara,source_Chennai,destination_Kolkata,non-stop,2019,6,3,7,5,early morning,2022,2,16,9,20,morning,7415,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
58,Multiple carriers,source_Delhi,destination_Cochin,1 stop,2019,6,5,19,0,evening,2022,5,7,1,30,late night,8074,No info,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
59,Vistara,source_Mumbai,destination_Hyderabad,1 stop,2019,6,3,15,40,After noon,2022,3,7,16,45,After noon,12396,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
60,Air India,source_Kolkata,destination_Banglore,1 stop,2019,6,6,9,25,morning,2022,2,16,21,50,night,8367,No info,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
61,Air India,source_Delhi,destination_Cochin,1 stop,2019,3,4,6,5,early morning,2022,4,4,9,25,morning,5118,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
62,Multiple carriers,source_Delhi,destination_Cochin,1 stop,2019,3,6,8,45,early morning,2022,2,16,19,0,evening,12525,No info,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
63,IndiGo,source_Delhi,destination_Cochin,1 stop,2019,5,15,15,0,After noon,2022,5,16,1,30,late night,7192,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
64,Vistara,source_Chennai,destination_Kolkata,non-stop,2019,5,24,7,5,early morning,2022,2,16,9,20,morning,3688,No info,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
